,prediction,Age
7786915138_R04C01,53.30562739049976,56.8
7786923012_R03C02,58.214324986512864,61.400000000000006
7471147139_R06C02,51.20978384537125,49.3
7786923013_R06C02,39.66776322872779,35.9
7796806163_R06C01,37.99613407081061,39.5
7507875118_R05C02,41.052591349987225,47.0
7786915055_R03C01,51.415391589203736,42.10000000000001
7512560091_R04C02,35.18662835672242,35.2
7471147068_R03C02,46.82570963189422,46.4
7786915036_R01C02,61.57733762860357,67.5
7507875047_R03C02,44.77452373798975,45.10000000000001
7471147149_R03C02,47.08816026734637,47.5
GSM2334125,74.83781677164639,80.0
7471147036_R06C01,55.15964762981354,50.39999999999999
GSM2334077,50.29637173989002,49.0
7796814001_R01C01,42.077144226600424,42.10000000000001
GSM2334169,42.90060222932277,41.0
7786923024_R05C01,42.62571272431873,45.0
7786915028_R04C02,65.16192556935452,60.2
7786923001_R01C01,51.551668919531,49.8
7786923020_R02C02,61.00499806428917,62.0
GSM2334229,67.66675921008716,69.0
7786923010_R04C01,44.66957682130595,41.5
7507875150_R03C01,47.668245475057915,50.2
7471147072_R05C02,55.01052992112307,55.7
7796806168_R04C02,50.3769793074013,52.099999999999994
GSM2334308,68.29574685106789,69.0
7786915150_R06C02,42.73139902052297,42.2
GSM2334396,52.75596153579088,56.0
GSM2334552,47.45214577246361,45.0
7786923022_R01C01,70.00250073971478,71.4
GSM2334324,37.64121222292836,36.0
GSM2334402,60.697131069376724,60.0
GSM2334081,37.203492201247556,37.0
GSM2334501,69.85002401293252,78.0
7786915109_R06C02,50.809879648885364,50.3
7796806168_R02C02,56.53113343270685,62.5
7786915007_R02C01,53.61351381802534,53.7
7471147025_R04C01,37.0187701731068,35.9
GSM2334150,16.995622155931834,17.0
GSM2334296,76.55179582132742,75.0
7471147099_R04C01,69.4381077732482,59.5
7786915035_R04C01,40.12881619874098,36.10000000000001
7471147027_R04C01,40.9543630432896,41.0
7471147096_R01C01,67.41925059810146,69.9
7786915004_R02C01,64.54577430442602,66.3
GSM2334089,70.04935604007422,65.0
7471147103_R03C01,54.77606345136196,56.4
7507875063_R02C01,45.999479728525635,41.4
7471147074_R04C01,52.60048550523532,49.7
7786923015_R02C01,42.36720613182261,42.8
7786923077_R01C01,52.472495411968275,48.6
7512560094_R03C02,54.60699444149397,51.0
7786915014_R01C02,49.47782176795211,42.10000000000001
7471147062_R06C02,57.10520639701867,55.4
7507875130_R04C02,46.94597806140303,49.89999999999999
7471147072_R02C01,40.0844461619416,44.3
7471147061_R01C02,45.36987602860103,49.0
7786915161_R05C01,40.820173994936056,38.8
GSM2334432,52.44600553582095,49.0
GSM2334632,55.76701076633527,54.0
7786915099_R01C02,46.49083938369722,46.599999999999994
7471147146_R05C02,54.94334588738089,52.89999999999999
7786923067_R04C01,48.79268797717448,47.099999999999994
GSM2334568,70.30315755154311,70.0
GSM2334204,16.311709966604365,19.0
7507875139_R06C01,49.99981461481485,49.89999999999999
GSM2334168,44.19812317215001,45.0
7786915129_R04C02,72.49475357338072,71.0
GSM2334499,67.48112906249978,70.0
GSM2334440,77.67487936087784,72.0
7471147002_R05C02,46.80878795290044,44.0
7786915093_R03C02,43.88800664838335,46.0
7786923002_R05C01,60.589729032305534,64.6
7471147074_R06C01,57.2583061768829,56.5
GSM2334578,12.63183548037286,16.0
